year,region,all,event,count,percentage
2019,global,48405,4x4x4 Blindfolded,879,1.815928106600558
2019,global,48405,4x4x4 Cube,17539,36.23386013841545
2019,global,48405,5x5x5 Blindfolded,546,1.1279826464208242
2019,global,48405,5x5x5 Cube,9136,18.874083255861997
2019,global,48405,Clock,3441,7.108769755190579
2019,global,48405,Magic,0,0
2019,global,48405,Master Magic,0,0
2019,global,48405,Megaminx,7053,14.570808800743725
2019,global,48405,Pyraminx,22947,47.40625968391695
2019,global,48405,Square-1,5305,10.95961161037083
2019,global,48405,2x2x2 Cube,32251,66.62741452329306
2019,global,48405,3x3x3 With Feet,1645,3.398409255242227
2019,global,48405,6x6x6 Cube,4080,8.428881313913852
2019,global,48405,7x7x7 Cube,3449,7.125296973453156
2019,global,48405,Skewb,14418,29.786179113727922
2019,malaysia,735,3x3x3 Cube,724,98.50340136054422
2019,malaysia,735,3x3x3 Blindfolded,67,9.115646258503402
2019,malaysia,735,3x3x3 Fewest Moves,66,8.979591836734693
